customer_id,last_date,recency,frequence,amount,intereval
CS1112,2015-01-14,2599,15,1012,93
CS1113,2015-02-09,2573,20,1490,71
CS1114,2015-02-12,2570,19,1432,72
CS1115,2015-03-05,2549,22,1659,62
CS1116,2014-08-25,2741,13,857,96
CS1117,2014-07-02,2795,17,1185,71
CS1118,2015-03-14,2540,15,1011,99
CS1119,2015-03-05,2549,15,1158,78
CS1120,2015-03-06,2548,24,1677,60
CS1121,2015-02-03,2579,26,1524,53
CS1122,2015-02-02,2580,16,1156,86
CS1123,2014-11-27,2647,19,1331,71
CS1124,2015-01-02,2611,18,1127,75
CS1125,2015-02-19,2563,12,885,109
CS1126,2014-09-18,2717,19,1165,64
CS1127,2015-02-05,2577,24,1676,56
CS1128,2014-12-31,2613,26,1921,52
CS1129,2014-11-30,2644,12,853,116
CS1130,2015-03-13,2541,19,1185,72
CS1131,2015-02-24,2558,14,998,98
CS1132,2015-02-17,2565,16,1074,87
CS1133,2015-02-21,2561,19,1413,75
CS1134,2014-11-27,2647,16,1166,78
CS1135,2014-04-15,2873,20,1267,53
CS1136,2015-02-17,2565,20,1339,67
CS1137,2015-01-20,2593,20,1380,70
CS1138,2015-03-03,2551,24,1863,59
CS1139,2014-11-25,2649,18,1245,74
CS1140,2015-02-16,2566,20,1434,71
CS1141,2015-01-22,2591,25,1778,52
CS1142,2014-10-06,2699,22,1847,58
CS1143,2014-08-16,2750,16,1255,75
CS1144,2014-10-11,2694,18,1222,72
CS1145,2014-10-25,2680,27,1967,47
CS1146,2015-03-09,2545,16,1117,78
CS1147,2015-03-12,2542,15,1004,97
CS1148,2014-12-23,2621,25,1733,52
CS1149,2015-03-01,2553,25,1768,56
CS1150,2014-12-17,2627,14,1075,93
CS1151,2015-02-18,2564,16,1040,85
CS1152,2015-03-10,2544,20,1457,66
CS1153,2015-02-10,2572,18,1274,78
CS1154,2015-03-16,2538,23,1436,58
CS1155,2014-11-10,2664,19,1317,68
CS1156,2015-03-07,2547,20,1445,71
CS1157,2015-02-25,2557,21,1427,57
CS1158,2014-12-04,2640,18,1159,72
CS1159,2015-02-08,2574,22,1439,63
CS1160,2015-01-31,2582,20,1380,62
CS1161,2015-03-12,2542,22,1389,64
CS1162,2015-02-25,2557,24,1815,59
CS1163,2015-02-06,2576,18,1290,79
CS1164,2015-02-27,2555,26,2037,53
CS1165,2014-12-12,2632,20,1335,64
CS1166,2014-12-08,2636,19,1507,71
CS1167,2014-11-17,2657,16,1132,84
CS1168,2014-11-25,2649,14,916,85
CS1169,2014-12-20,2624,18,1175,69
CS1170,2015-03-13,2541,18,1272,80
CS1171,2015-03-15,2539,22,1555,63
CS1172,2014-07-01,2796,18,1306,67
CS1173,2015-01-26,2587,21,1429,63
CS1174,2015-02-21,2561,23,1554,59
CS1175,2015-01-23,2590,17,1106,84
CS1176,2015-02-15,2567,18,1401,79
CS1177,2015-02-06,2576,17,1310,85
CS1178,2015-02-13,2569,22,1535,61
CS1179,2015-01-29,2584,29,2091,47
CS1180,2015-01-21,2592,23,1637,56
CS1181,2015-01-18,2595,27,1893,48
CS1182,2014-12-04,2640,24,1749,54
CS1183,2015-03-04,2550,26,1967,54
CS1184,2015-03-16,2538,28,1999,50
CS1185,2015-03-05,2549,27,1801,51
CS1186,2015-01-23,2590,19,1439,70
CS1187,2015-02-22,2560,22,1559,65
CS1188,2015-03-12,2542,16,1010,91
CS1189,2015-01-12,2601,23,1564,56
CS1190,2015-02-04,2578,18,1324,78
CS1191,2015-01-09,2604,21,1522,65
CS1192,2015-02-06,2576,18,1313,78
CS1193,2014-06-06,2821,15,953,76
CS1194,2015-03-07,2547,22,1505,59
CS1195,2015-02-24,2558,20,1378,65
CS1196,2015-03-15,2539,23,1559,60
CS1197,2014-10-06,2699,17,1180,76
CS1198,2015-03-05,2549,22,1571,63
CS1199,2014-11-12,2662,20,1344,64
CS1200,2014-09-27,2708,21,1667,60
CS1201,2015-01-23,2590,19,1375,67
CS1202,2015-01-21,2592,20,1331,60
CS1203,2015-01-27,2586,21,1536,66
CS1204,2015-01-28,2585,17,1023,80
CS1205,2015-03-13,2541,17,1103,87
CS1206,2014-10-10,2695,24,1514,53
CS1207,2015-02-05,2577,18,1310,68
CS1208,2015-02-09,2573,15,1000,94
CS1209,2015-03-14,2540,27,1809,52
CS1210,2014-12-08,2636,21,1546,64
CS1211,2015-01-18,2595,18,1218,72
CS1212,2014-10-09,2696,17,1200,76
CS1213,2014-11-09,2665,18,1191,66
CS1214,2015-03-09,2545,19,1289,73
CS1215,2014-11-03,2671,35,2362,33
CS1216,2014-10-28,2677,24,1798,54
CS1217,2014-12-29,2615,20,1431,69
CS1218,2015-02-07,2575,24,1687,57
CS1219,2015-03-12,2542,21,1447,60
CS1220,2015-02-24,2558,9,720,150
CS1221,2014-10-04,2701,19,1372,67
CS1222,2015-01-30,2583,21,1585,67
CS1223,2015-01-22,2591,17,1299,81
CS1224,2014-11-21,2653,8,578,169
CS1225,2015-01-28,2585,17,999,83
CS1226,2015-01-21,2592,18,1213,77
CS1227,2015-02-19,2563,27,1783,47
CS1228,2015-01-29,2584,19,1368,72
CS1229,2015-02-17,2565,19,1194,74
CS1230,2015-03-11,2543,20,1415,73
CS1231,2014-10-13,2692,23,1750,54
CS1232,2014-12-11,2633,20,1452,67
CS1233,2014-11-21,2653,21,1374,49
CS1234,2015-03-12,2542,21,1349,68
CS1235,2014-10-26,2679,22,1507,53
